1st_flr_sf,bsmt_exposure,bsmt_qual,bsmtfin_sf_1,bsmtfin_type_1,exter_qual,exterior_1st_HdBoard,exterior_1st_MetalSd,exterior_1st_Others,exterior_1st_PreCast,exterior_1st_VinylSd,exterior_1st_Wd Sdng,exterior_2nd_HdBoard,exterior_2nd_MetalSd,exterior_2nd_Other,exterior_2nd_Others,exterior_2nd_PreCast,exterior_2nd_VinylSd,exterior_2nd_Wd Sdng,fence,fireplace_qu,fireplaces,foundation_Others,foundation_PConc,full_bath,garage_area,garage_cars,garage_finish,garage_type_Attchd,garage_type_Others,gr_liv_area,heating_qc,house_style_1Story,house_style_Others,id,kitchen_qual,lot_area,lot_config_Inside,lot_config_Others,lot_frontage_reg_imputed,lot_shape,mas_vnr_area,mas_vnr_type_CBlock,mas_vnr_type_None,mas_vnr_type_Others,ms_subclass_120,ms_subclass_160,ms_subclass_180,ms_subclass_190,ms_subclass_20,ms_subclass_30,ms_subclass_40,ms_subclass_45,ms_subclass_50,ms_subclass_60,ms_subclass_70,ms_subclass_75,ms_subclass_80,ms_subclass_85,ms_subclass_90,ms_subclass_Others,ms_zoning_Others,ms_zoning_RL,neigh_group,open_porch_sf,overall_qual,pid,roof_style_Gable,roof_style_Others,saleprice,total_bsmt_sf,totrms_abvgrd,wood_deck_sf,year_built,year_remod_add
725,1.0,3.0,533.0,6.0,3.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1.0,0,0.0,0.0,0.0,0.0,0,1.0,0.0,2,475.0,2.0,2.0,1.0,0.0,1479,4.0,0.0,1.0,109,3.0,13517,0.0,1.0,85.17739353007443,2.0,289.0,0,0.0,1.0,0.0,0,0,0,0.0,0.0,0,0,0.0,1.0,0,0,0,0,0,0.0,0.0,1.0,1,44,5.0,533352170,1.0,0.0,130500,725.0,6,0,1976,2005
913,1.0,4.0,637.0,6.0,3.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,0.0,0,1.0,0.0,0.0,3.0,1,0.0,1.0,2,559.0,2.0,2.0,1.0,0.0,2122,4.0,0.0,1.0,544,3.0,11492,0.0,1.0,43.0,2.0,132.0,0,0.0,1.0,0.0,0,0,0,0.0,0.0,0,0,0.0,1.0,0,0,0,0,0,0.0,0.0,1.0,2,74,6.0,531379050,1.0,0.0,220000,913.0,8,0,1996,1997
1057,1.0,3.0,731.0,6.0,2.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,0.0,0,1.0,0.0,0.0,0.0,0,1.0,0.0,1,246.0,1.0,1.0,0.0,1.0,1057,2.0,1.0,0.0,153,3.0,7922,1.0,0.0,68.0,3.0,0.0,0,1.0,0.0,0.0,0,0,0,1.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,1.0,2,52,4.0,535304180,1.0,0.0,109000,1057.0,5,0,1953,2007
744,1.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,0.0,0,1.0,0.0,0.0,0.0,0,0.0,1.0,2,400.0,2.0,3.0,0.0,1.0,1444,3.0,0.0,1.0,318,2.0,9802,1.0,0.0,73.0,3.0,0.0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,1.0,0,0,0,0,0,0.0,0.0,1.0,4,0,4.0,916386060,1.0,0.0,174000,384.0,7,100,2006,2007
831,1.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0,1.0,0,0.0,0.0,0.0,0.0,0,0.0,1.0,2,484.0,2.0,1.0,0.0,1.0,1445,2.0,0.0,1.0,255,2.0,14235,1.0,0.0,82.0,2.0,0.0,0,1.0,0.0,0.0,0,0,0,0.0,0.0,0,0,1.0,0.0,0,0,0,0,0,0.0,0.0,1.0,2,59,5.0,906425045,1.0,0.0,138500,676.0,6,0,1900,1993
1888,1.0,3.0,247.0,5.0,3.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0,1.0,0,0.0,0.0,0.0,4.0,1,1.0,0.0,2,578.0,2.0,3.0,1.0,0.0,1888,4.0,1.0,0.0,138,3.0,16492,0.0,1.0,137.0,2.0,0.0,0,1.0,0.0,0.0,0,0,0,1.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,1.0,2,0,5.0,535126040,1.0,0.0,190000,1517.0,6,0,1966,2002
1072,4.0,4.0,547.0,6.0,2.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,0.0,0,1.0,0.0,0.0,0.0,0,0.0,1.0,2,525.0,2.0,3.0,0.0,1.0,1072,3.0,0.0,1.0,2827,2.0,3675,1.0,0.0,35.0,3.0,82.0,0,0.0,1.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,1.0,1.0,0.0,1,44,5.0,908186070,1.0,0.0,140000,547.0,5,0,2005,2006
1188,1.0,3.0,1000.0,3.0,2.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0,1.0,0,0.0,0.0,3.0,0.0,0,1.0,0.0,1,531.0,2.0,2.0,1.0,0.0,1188,1.0,1.0,0.0,145,2.0,12160,1.0,0.0,81.09768521385952,2.0,180.0,0,0.0,1.0,0.0,0,0,0,1.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,1.0,2,0,4.0,535154050,0.0,1.0,142000,1188.0,6,0,1959,1959
924,1.0,3.0,292.0,3.0,2.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0,0.0,0,0.0,1.0,3.0,0.0,0,1.0,0.0,1,420.0,1.0,1.0,0.0,1.0,924,2.0,1.0,0.0,1942,2.0,15783,1.0,0.0,91.58572089032728,3.0,0.0,0,1.0,0.0,0.0,0,0,0,1.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,1.0,0,324,4.0,535353130,1.0,0.0,112500,924.0,6,0,1952,1952
1040,3.0,4.0,650.0,3.0,2.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0,1.0,0,0.0,0.0,0.0,3.0,2,0.0,1.0,1,504.0,2.0,1.0,1.0,0.0,2080,2.0,0.0,1.0,1956,1.0,11606,1.0,0.0,70.0,2.0,192.0,0,0.0,1.0,0.0,0,0,0,0.0,0.0,0,0,0.0,1.0,0,0,0,0,0,0.0,0.0,1.0,2,0,4.0,535426130,1.0,0.0,135000,1040.0,9,335,1969,1969
